name,location,latitude,longitude
"＿照院","新潟県三条市北四日町8-2","37.624779","138.954941"
"Q138315389","川崎市","35.61221","139.55899"
"うさみ観音寺","静岡県伊東市宇佐美天気山3496","35.010017","139.072937"
"おふさ観音","奈良県橿原市小房町6-22","34.503194","135.797111"
"カトリック聖クララ会修道院","新潟県上越市南城町1-14-2","37.103695","138.250626"
"ごて地蔵","大阪府大阪市北区曾根崎2丁目13-9","34.701511","135.500022"
"せんき薬師","大塚南","35.240482979","136.795925393"
"チュアベトナム","神奈川県愛甲郡愛川町半原4889-1","35.542222222","139.262777777"
"ドミニコ会雪の聖母修道院","福島県耶麻郡磐梯町大字更科字源橋道5086","37.566216","140.009048"
"まんなおし地蔵尊","奈良県奈良市瓦堂町３","34.6744","135.82886"
"みちびき不動尊","千葉県松戸市本町21-7","35.786513","139.9009"
"ゆるぎ地蔵尊","千葉県船橋市飯山満町2-744","35.711872","140.022147"
"よろこび教会","千葉県野田市野田350-4","35.94545","139.863846"
"ワットパクナム日本別院","千葉県成田市中野294-1","35.846962","140.396393"
"ワッパープッタランシー","東京都八王子市宮下町482","35.70648","139.3061"
"阿含宗関東別院","東京都港区三田4-14-15","35.646334","139.742285"
"阿岸本誓寺","石川県輪島市門前町南カ26","37.253972","136.731306"
"阿遮院","東京都荒川区東尾久3-6-25","35.745138888","139.773111111"
"阿主南寺","静岡県島田市身成3998","34.946833333","138.102"
"阿波国分尼寺跡","石井町","",""
"阿免寺","大阪府堺市堺区中之町西2丁2-25","34.575833","135.468889"
"阿弥陀院","茨城県かすみがうら市粟田393番地","36.200111","140.237259"
"阿弥陀院","茨城県常陸大宮市国長834番地","36.581772","140.301819"
"阿弥陀院","茨城県石岡市半田1117番地","36.202515","140.205399"
"阿弥陀院","新潟県佐渡市小木町627","37.819813","138.269623"
"阿弥陀院","新潟県長岡市栃堀699","37.436756","139.07254"
"阿弥陀院","千葉県旭市八木2451","35.703922","140.735321"
"阿弥陀院","千葉県匝瑳市東小笹1879","35.68671","140.598953"
"阿弥陀院","千葉県銚子市垣根町1-338-1","35.747066","140.792969"
"阿弥陀院","東京都足立区鹿浜7-19-7","35.783694444","139.761277777"
"阿弥陀院","東京都足立区保木間4-17-13","35.798416666","139.804972222"
"阿弥陀院","福島県耶麻郡西会津町下谷字山口戊32","37.569286","139.661453"
"阿弥陀院 (西尾市)","西尾市","",""
"阿弥陀院 (豊田市)","豊田市","",""
"阿弥陀寺","愛知県岡崎市桜形町前田13","34.99075","137.30638889"
"阿弥陀寺","愛知県西尾市一色町佐久島東屋敷3","34.721583333","137.048722222"
"阿弥陀寺","愛知県名古屋市中区大須2丁目5-47","35.161805555","136.901638888"
"阿弥陀寺","茨城県稲敷市上根本3063番地","35.920036","140.260208"
"阿弥陀寺","茨城県結城市大字結城263番地","36.298828","139.878998"
"阿弥陀寺","茨城県坂東市長須4359番地の1","36.052849","139.866638"
"阿弥陀寺","茨城県常総市坂手町3554番地","36.020134","139.950943"
"阿弥陀寺","茨城県那珂市額田南郷375番地","36.48725","140.519889"
"阿弥陀寺","茨城県龍ケ崎市長沖町1670番地の1","35.891792","140.154419"
"阿弥陀寺","岐阜県下呂市御厩野1200","35.769166666","137.321722222"
"阿弥陀寺","宮城県仙台市若林区新寺3-5-3","38.255333","140.887222"
"阿弥陀寺","京都市西京区桂千代原町22","34.982083333","135.698166666"
"阿弥陀寺","京都府京都市左京区大原古知平町83","35.13822778","135.82785556"
"阿弥陀寺","京都府京都市上京区寺町通今出川上ル鶴山町14","35.033944","135.766222"
"阿弥陀寺","郡山市富久山町久保田字久保田52","37.411416666","140.390555555"
"阿弥陀寺","香川県小豆郡小豆島町西村甲1666","34.472862","134.273773"
"阿弥陀寺","埼玉県さいたま市西区西大宮4-54-20","35.934383","139.576538"
"阿弥陀寺","埼玉県熊谷市永井太田1388-1","36.226437","139.341064"
"阿弥陀寺","埼玉県深谷市明戸590","36.211838","139.301331"
"阿弥陀寺","埼玉県秩父市荒川贄川665","35.97176","138.979172"
"阿弥陀寺","山口県防府市大字牟礼字上坂本1869番地","34.077","131.614527777"
"阿弥陀寺","滋賀県高島市新旭町旭","35.35475","136.0365"
"阿弥陀寺","新潟県村上市山屋769","38.205112","139.482605"
"阿弥陀寺","新潟県長岡市上富岡町150","37.424919","138.776321"
"阿弥陀寺","新潟県長岡市濁沢町792","37.364216","138.875458"
"阿弥陀寺","神奈川県横浜市磯子区峰町560","35.366888888","139.597222222"
"阿弥陀寺","神奈川県足柄下郡箱根町塔之沢24","35.238152","139.092911"
"阿弥陀寺","静岡県掛川市成滝120","34.777439","138.035172"
"阿弥陀寺","静岡県焼津市本町2-4-5","34.867405","138.321136"
"阿弥陀寺","千葉県鴨川市佐野362","35.144855","139.981247"
"阿弥陀寺","千葉県千葉市中央区千葉寺町33","35.597361111","140.130138888"
"阿弥陀寺","千葉県船橋市坪井東1-3-1","35.728104","140.059052"
"阿弥陀寺","千葉県富津市西大和田1059-2","35.295792","139.864166"
"阿弥陀寺","千葉県木更津市笹子89","35.375858","139.992462"
"阿弥陀寺","大阪府和泉市大野町118","34.405555555","135.474055555"
"阿弥陀寺","大須二丁目","35.161813455","136.901567437"
"阿弥陀寺","長野県諏訪市上諏訪唐沢7633-1","36.0515","138.13675"
"阿弥陀寺","東京都練馬区練馬1-44-10","35.73995833","139.65081111"
"阿弥陀寺","奈良県奈良市南風呂町10","34.67785","135.82674"
"阿弥陀寺","福島県いわき市内郷御厩町下宿132","37.046623","140.876297"
"阿弥陀寺","福島県会津若松市七日町4番20号","37.500638888","139.919"
"阿弥陀寺","福島県喜多方市塩川町字反町925","37.594776","139.888397"
"阿弥陀寺","福島県大沼郡会津美里町鶴野辺字山ノ神丙351","37.503189","139.834732"
"阿弥陀寺","福島県南相馬市鹿島区南屋形字前畑168","37.714305555","140.972111111"
"阿弥陀寺","福島県耶麻郡磐梯町大字大谷字滑石6062","37.565536","139.96907"
"阿弥陀寺","和歌山県海南市下津町橘本1084","34.12806","135.195"
"阿弥陀寺","和歌山県東牟婁郡那智勝浦町南平野2270-1","33.65575","135.886916666"
"阿弥陀如来龍命堂","新潟県燕市中川337","37.677162","138.953003"
"阿彌陀寺","香川県さぬき市大川町田面1186","34.239052","134.259399"
"阿彌陀寺","香川県高松市前田西町270-2","34.302071","134.11998"
"阿彌陀寺","埼玉県行田市城西4-6-33","36.137768","139.441422"
"阿彌陀寺","鹿児島県いちき串木野市下名12287","31.714561","130.271942"
"阿彌陀寺","新潟県上越市三和区北代1049","37.139053","138.373199"
"阿彌陀寺","静岡県浜松市中央区三島町976","34.687599","137.744431"
"哀愍寺","群馬県太田市尾島町454-1","36.260536","139.32103"
"愛染院","茨城県潮来市水原1121番地","35.977524","140.575485"
"愛染院","群馬県伊勢崎市境461","36.270752","139.255661"
"愛染院","新潟県新発田市板山2205","37.891781","139.431107"
"愛染院","千葉県木更津市中央1-3-15","35.382805","139.923386"
"愛染院","大阪府堺市北区蔵前町2丁12-12","34.576666666","135.514722222"
"愛染院","東京都新宿区若葉2-8-3","35.685694444","139.724444444"
"愛染院","東京都練馬区春日町4-17-1","35.7533012","139.6399887"
"愛染院","徳島県板野郡板野町那東字居内32","34.13989722","134.43926389"
"愛染寺","香川県高松市牟礼町原623-5","34.332316","134.158891"
"愛染寺","香川県小豆郡小豆島町室生2106","34.474827","134.250565"
"愛染寺","福島県郡山市麓山2-7-2","37.394497","140.371964"
"愛蔵寺","福島県二本松市戸沢字細田10","37.573643","140.605148"
"愛宕堂","福島県双葉郡浪江町北幾世橋北内匠町","37.492886","141.017182"
"愛宕念仏寺","京都市右京区嵯峨鳥居本深谷町2-5","35.031375","135.661122"
"逢善寺","茨城県稲敷市小野318","35.927639","140.316944"
"逢龍寺","新潟県妙高市大字大鹿2050","36.931862","138.264725"
"旭王寺","岐阜県瑞浪市山田町366","35.3525","137.24972"
"旭増寺","静岡県掛川市原里1458","34.838406","137.971619"
"旭田寺","福島県南会津郡下郷町大字塩生字上ノ原1205-13","37.248555555","139.873722222"
"旭洞院","静岡県下田市須崎816","34.657112","138.964523"
"旭傳院","静岡県焼津市保福島680","34.869518","138.282578"
"芦浦観音寺","滋賀県草津市芦浦町445","35.059611","135.955028"
"粟原寺跡","桜井市","34.497333","135.892528"
"安栄寺","志賀町","35.199002","136.914906"
"安岡寺","大阪府高槻市浦堂本町41-1","34.86972222","135.60361111"
"安穏寺","愛知県丹羽郡扶桑町高雄中郷122","35.364117","136.930206"
"安穏寺","茨城県稲敷市阿波961番地の1","35.95208","140.382919"
"安穏寺","茨城県結城市大字結城1725番地","36.307835","139.874649"
"安穏寺","茨城県土浦市中貫1851番地","36.120895","140.208939"
"安穏寺","埼玉県狭山市入間川250-1","35.854088","139.409332"
"安穏寺","埼玉県入間市牛沢町15-12","35.837921","139.373322"
"安穏寺","新潟県阿賀野市小浮1576","37.780933","139.207962"
"安穏寺","静岡県静岡市清水区伊佐布63","35.070965","138.451874"
"安穏寺","千葉県市川市稲越2-5-30","35.755272","139.929001"
"安穏寺","東京都世田谷区上祖師谷2-3-6","35.657944444","139.601611111"
"安楽院","茨城県結城郡八千代町大字若1004番地","36.181637","139.896759"
"安楽院","茨城県筑西市黒子243番地","36.250328","139.978653"
"安楽院","埼玉県幸手市下川崎456","36.083633","139.703659"
"安楽院","千葉県印西市荒野458","35.797565","140.197556"
"安楽院","徳島県板野郡北島町江尻宮ノ本46","34.120522","134.544052"
"安楽行院","伏見区","",""
"安楽寺","〒910-4272 　福井県あわら市北潟４２−１２−２","36.253571","136.211349"
"安楽寺","愛知県蒲郡市清田町門前4","34.842583","137.23125"
"安楽寺","愛知県知多郡阿久比町板山川向21","34.945896","136.92926"
"安楽寺","愛知県知多郡南知多町大字日間賀島字里中48","34.706055555","137.009611111"
"安楽寺","茨城県つくば市酒丸180番地","36.101337","140.056885"
"安楽寺","茨城県下妻市下妻乙424番地","36.183586","139.961685"
"安楽寺","茨城県桜川市真壁町長岡506番地","36.293003","140.113312"
"安楽寺","茨城県常総市大輪町1番地","36.073521","139.972"
"安楽寺","茨城県水戸市元吉田町2511番地","36.357853","140.486069"
"安楽寺","茨城県龍ケ崎市川原代町1051番地","35.922794","140.139267"
"安楽寺","刈谷市","",""
"安楽寺","岐阜県岐阜市伊奈波通1-16","35.428666666","136.7675"
"安楽寺","岐阜県大垣市赤坂町756-1","35.383916666","136.5815"
"安楽寺","京都府京都市左京区鹿ケ谷御所ノ段町21","35.021638888","135.796527777"
"安楽寺","京都府南丹市八木町北屋賀国府26","35.07158333","135.55388889"
"安楽寺","群馬県安中市安中2-9-23","36.326385","138.894699"
"安楽寺","群馬県高崎市上大類町1127","36.335651","139.034821"
"安楽寺","群馬県高崎市倉賀野町867","36.298206","139.041656"
"安楽寺","群馬県高崎市木部町450","36.27943","139.049789"
"安楽寺","群馬県前橋市富士見町時沢乙685","36.431564","139.083908"
"安楽寺","群馬県太田市西矢島町544-1","36.274242","139.376389"
"安楽寺","群馬県邑楽郡千代田町大字赤岩1057","36.209454","139.438019"
"安楽寺","広島県広島市東区牛田本町1丁目5－29","34.409277777","132.470638888"
"安楽寺","香川県丸亀市垂水町1371","34.234421","133.830032"
"安楽寺","香川県丸亀市飯山町東坂元3230","34.272171","133.880508"
"安楽寺","香川県木田郡三木町大字氷上5218","34.241405","134.123978"
"安楽寺","高知県高知市洞ヶ島町5番3号","33.566772","133.533089"
"安楽寺","埼玉県さいたま市大宮区桜木町1-377","35.902706","139.620056"
"安楽寺","埼玉県ふじみ野市駒林869","35.869806","139.534056"
"安楽寺","埼玉県加須市杓子木328","36.139565","139.650299"
"安楽寺","埼玉県熊谷市西別府2044","36.190111111","139.338111111"
"安楽寺","埼玉県鴻巣市郷地96","36.071823","139.524857"
"安楽寺","埼玉県川越市今成3-18-6","35.921513","139.466248"
"安楽寺","埼玉県川口市上青木2-18-30","35.828548","139.722748"
